,Unnamed: 0.1,Unnamed: 0,actor,url,org_form
134,134,134,Person som ikke har oppgitt navn (166119),,Privatperson
135,135,135,Person som ikke har oppgitt navn (179897),,Privatperson
136,136,136,Person som ikke har oppgitt navn (183356),,Privatperson
137,137,137,Person som ikke har oppgitt navn (184236),,Privatperson
138,138,138,Person som ikke har oppgitt navn (318803),,Privatperson
139,139,139,Person som ikke har oppgitt navn (736715),,Privatperson
140,140,140,Person som ikke har oppgitt navn (834451),,Privatperson
141,141,141,Person som ikke har oppgitt navn (842654),,Privatperson
142,142,142,Person som ikke har oppgitt navn (933520),,Privatperson
143,143,143,Professor emeritus Harald N. Røstvik,,Privatperson
144,144,144,Pål Arne Veien,,Privatperson
145,145,145,Redd Barna,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=941296459,Frivillig organisasjon
146,146,146,Rogaland fylkeskommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=971045698,Offentlig forvaltning
147,147,147,Røde Kors,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=981321154,Frivillig organisasjon
148,148,148,Sabima,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=980202062,Interessegruppe
149,149,149,Sámediggi - Sametinget,,Offentlig forvaltning
150,150,150,Samfunnsbedriftene,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=912868222,Interessegruppe
151,151,151,Silje Sønstabø,,Privatperson
152,152,152,Lede AS,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=979422679,Bedrift
153,153,153,Naturvernforbundet,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=916988508,Interessegruppe
154,154,154,NORCE,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=987375639,Bedrift
155,155,155,Norges Fiskerlag,,Interessegruppe
156,156,156,Norges miljø- og biovitenskapelige universitet,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=969159570,Akademisk institusjon
157,157,157,Norsk Bonde- og Småbrukarlag,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=970167943,Interessegruppe
158,158,158,Nye veier,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=915488099,Bedrift
159,159,159,Oslo kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=958935420,Offentlig forvaltning
160,160,160,Pelagisk Forening,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=996764737,Interessegruppe
